Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat_(%),FM,GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,Rud,Ele,Thr,Ail,SA,SB,SC,SD,SE,SF,LSW,TxBat(V)
2021-08-29,15:42:59.200,59,59,100,49,0,2,25,60,100,47,0.05,0.09,0.08,16.3,0.8,13,76,0,31.166881 121.356245,0.3,0.00,0,3,12,-1,-1024,4,1,-1,0,-1,1,-1,0x0000000000000000,4.1
2021-08-29,15:42:59.670,60,60,100,42,0,2,25,60,100,44,0.05,0.08,0.08,16.3,0.8,13,76,0,31.166880 121.356247,0.5,0.00,0,3,13,-1,-1024,5,1,-1,0,-1,-1,-1,0x0000000000000000,4.1
2021-08-29,15:43:00.170,54,54,100,58,0,2,25,59,100,47,0.05,0.08,0.08,16.3,0.7,13,76,0,31.166879 121.356249,0.5,0.00,0,3,11,-1,-1024,4,1,-1,0,-1,1,-1,0x0000000000000000,4.1
2021-08-29,15:43:02.130,54,54,100,50,0,2,25,58,100,48,0.05,0.09,0.09,16.3,0.7,13,76,0,31.166879 121.356253,1.2,0.00,0,3,93,-2,-1024,3,1,-1,0,-1,1,-1,0x0000000000000000,4.1
2021-08-29,15:43:02.620,61,61,100,47,0,2,25,58,100,47,0.05,0.08,0.09,16.3,0.7,13,76,0,31.166879 121.356254,1.0,0.00,0,3,99,-1,-1024,4,1,-1,0,-1,1,-1,0x0000000000000000,4.1
2021-08-29,15:43:05.280,59,59,100,44,0,2,25,59,100,47,0.05,0.09,0.10,16.3,0.8,14,76,0,31.166880 121.356259,0.8,0.00,0,3,164,-1,-1024,5,1,-1,0,-1,1,-1,0x0000000000000000,4.1
2021-08-29,15:43:05.770,58,58,100,50,0,2,25,60,100,47,0.05,0.08,0.10,16.3,0.8,14,76,0,31.166881 121.356260,0.9,0.00,0,3,186,-1,-1024,4,1,-1,0,-1,1,-1,0x0000000000000000,4.1
2021-08-29,15:43:06.270,51,51,100,57,0,2,25,60,100,47,0.05,0.08,0.10,16.3,0.8,14,76,0,31.166880 121.356260,0.8,0.00,0,3,187,-2,-1024,4,1,-1,0,-1,-1,-1,0x0000000000000000,4.1
2021-08-29,15:43:06.770,53,53,100,56,0,2,25,62,100,44,0.05,0.08,0.10,16.3,0.8,14,77,0,31.166880 121.356261,0.6,0.00,0,3,148,-1,-1024,4,1,-1,0,-1,-1,-1,0x0000000000000000,4.1
2021-08-29,15:43:07.270,54,54,100,41,0,2,25,64,99,40,0.05,0.08,0.10,16.3,0.8,14,76,0,31.166880 121.356261,0.9,0.00,0,3,11,0,-1024,3,1,-1,0,-1,-1,-1,0x0000000000000000,4.1
